INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('1', '10000', '2024-01-27 09:00:00', '2024-02-10 08:59:59', '50', '23.45', '860', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('1', '10000', '2022-08-12 09:00:00', '2022-08-26 08:59:59', '50', '1.96', '860', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('2', '10000', '2024-06-29 09:00:00', '2024-07-13 08:59:59', '50', '20.81', '1976', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('2', '10000', '2022-06-27 09:00:00', '2022-07-11 08:59:59', '50', '22.12', '1976', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('2', '10000', '2024-01-05 09:00:00', '2024-01-19 08:59:59', '50', '3.45', '1976', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('2', '10000', '2022-08-02 09:00:00', '2022-08-16 08:59:59', '50', '0.8', '1976', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('3', '10000', '2024-05-13 09:00:00', '2024-05-27 08:59:59', '50', '16.13', '5206', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('3', '10000', '2022-07-17 09:00:00', '2022-07-31 08:59:59', '50', '24.78', '5206', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('4', '10000', '2024-05-14 09:00:00', '2024-05-28 08:59:59', '50', '11.6', '6901', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('4', '10000', '2023-12-16 09:00:00', '2023-12-30 08:59:59', '50', '2.14', '6901', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('4', '10000', '2023-11-02 09:00:00', '2023-11-16 08:59:59', '50', '23.69', '6901', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('5', '10000', '2024-05-10 09:00:00', '2024-05-24 08:59:59', '50', '27.43', '6091', '10');
